transaction_id,user_id,amount,merchant_category,timestamp,location,is_fraud
255ce929-d7c5-4f88-a41b-01669611f975,USER1444,1184.4,fashion,2026-03-27 16:52:18.732875,Chennai,False
c51db2e4-f544-4989-a5bc-7d72c5bf2579,USER3507,979.81,gaming,2026-04-19 17:29:18.732802,Bangalore,False
5ac31120-beaa-41a2-b4f5-97e97043ac3e,USER8265,3045.77,travel,2026-05-09 09:37:18.801087,Pune,False
ec927480-945e-49e2-ab51-85f3f0ea8e21,USER8068,3695.05,crypto,2026-03-15 19:34:18.724940,Hyderabad,False
1c51d929-2cef-4ed1-a5cc-10c9f2dd4b15,USER7340,178.13,grocery,2026-03-25 11:21:18.615630,Kolkata,False
9d51da91-5ed6-4127-a5a9-5c9045f7f00c,USER7626,4980.04,fashion,2026-05-05 07:44:18.778091,Chennai,False
4b41d049-a22f-4224-81cd-2900f7f99063,USER3503,4057.1,restaurant,2026-05-11 20:14:18.753794,Pune,False
baf3fcc9-baa8-48e0-8988-e9092f93ba8b,USER6049,3217.98,electronics,2026-05-13 11:58:18.705497,Kolkata,False
ef28bc86-f2fb-4baa-ab49-433b74968fdb,USER7394,1494.09,healthcare,2026-03-19 08:27:18.656396,Hyderabad,False
a7eb44f3-3ffd-4796-8176-0fe822b180a0,USER5227,2953.69,gaming,2026-05-07 02:15:18.783548,Bangalore,False
9e7c029e-938c-490c-8382-0b2abeb36ca6,USER3292,3532.44,gaming,2026-03-24 17:08:18.665013,Chennai,False
f935c6ff-d15a-4a71-979e-942657cb718e,USER7332,576.94,restaurant,2026-04-17 19:47:18.669540,Delhi,False
c4459e1f-c48e-4097-aa6c-4f7884889d0d,USER9590,2209.12,restaurant,2026-03-19 08:04:18.697188,Pune,False
eefda924-364c-4ea7-aad7-2b9a90879aea,USER6665,4721.09,grocery,2026-04-23 06:36:18.620706,Pune,False
ff5194a8-aca5-45a3-91db-0cd03537b3ea,USER4144,1141.1,travel,2026-04-02 19:47:18.693748,Kolkata,False
fc962f32-5b46-4e9f-8876-7b5c600f5b5e,USER3382,1599.47,travel,2026-05-11 07:58:18.762767,Hyderabad,False
80fe32fd-f721-44bf-a634-c10b086c1db3,USER4694,1352.98,travel,2026-03-15 14:19:18.620158,Chennai,False
e0b9d7ce-d46d-44d6-b20f-ea7184f21d13,USER9275,3434.19,grocery,2026-04-11 09:38:18.662683,Chennai,False
f1159efe-b259-414e-91ac-3ab364b8125e,USER4460,247.92,crypto,2026-03-16 06:00:18.626810,Bangalore,False
89df5904-2fd1-46ee-a882-670348826de9,USER6146,3100.64,grocery,2026-04-03 23:43:18.759043,Hyderabad,False
46fcbbce-d3fe-407b-80d5-24762a6cd95e,USER6426,690.76,fashion,2026-04-19 18:07:18.806179,Delhi,False
1034c3ac-3d74-4c1a-8062-a75a1b7cae8c,USER1844,4179.08,grocery,2026-03-12 18:25:18.762725,Bangalore,False
b199049a-389b-4598-a4da-11ae70c798dc,USER2839,858.15,travel,2026-05-04 01:03:18.810042,Chennai,False
58c76c86-3ffb-432e-b332-e25e5eb4822e,USER7431,4747.98,healthcare,2026-05-05 10:43:18.795294,Hyderabad,False
07094ccf-27c9-4eff-a6ed-48bb1ec78801,USER2267,299.28,travel,2026-04-03 01:17:18.803906,Pune,False
cdcbb164-c0de-4aaa-8f1e-a0fe4237b447,USER2992,3287.59,travel,2026-04-08 02:25:18.732356,Delhi,False
