transaction_id,user_id,amount,merchant_category,timestamp,location,is_fraud,transaction_hour,day_of_week,is_high_risk_merchant,amount_log,amount_category,user_transaction_count,user_cumulative_amount,previous_transaction_time,minutes_since_last_transaction,rapid_transaction_flag,risk_score,risk_level
dbff9c66-8b72-48fb-ab99-fb89b9c747d3,USER1001,2370.77,fashion,2026-03-21 01:30:34.792783,Bangalore,False,1,Saturday,0,7.7713917908294,medium,1,2370.77,,999999.0,0,0,LOW
28ee2035-0b91-413c-bf78-d9b0c375d36d,USER1002,1952.36,healthcare,2026-04-23 23:45:34.786518,Bangalore,False,23,Thursday,0,7.577306245686896,medium,1,1952.36,,999999.0,0,0,LOW
5a0fe1e2-b1f7-4b1a-ad9d-62e158e41395,USER1004,4742.6,fashion,2026-04-23 12:39:34.790522,Chennai,False,12,Thursday,0,8.46455162009064,medium,1,4742.6,,999999.0,0,0,LOW
e0941273-65b2-44eb-a54c-9c558c2f7267,USER1013,896.68,restaurant,2026-04-02 09:03:34.789532,Delhi,False,9,Thursday,0,6.79981365735661,low,1,896.68,,999999.0,0,0,LOW
2b82fea5-1c02-435a-979b-1db750289ed6,USER1027,1801.3,grocery,2026-04-14 00:06:34.797366,Chennai,False,0,Tuesday,0,7.49681890599876,medium,1,1801.3,,999999.0,0,0,LOW
e23f6c38-a2ea-4cf7-85f6-441fde1ba932,USER1038,88794.99,electronics,2026-03-27 19:26:34.797551,Unknown,True,19,Friday,1,11.394096770302966,very_high,1,88794.99,,999999.0,0,45,MEDIUM
52360a14-4f56-4d88-9765-2dc680da3cca,USER1046,2497.81,electronics,2026-03-10 17:52:34.788656,Bangalore,False,17,Tuesday,1,7.823569897532329,medium,1,2497.81,,999999.0,0,25,LOW
06f9c642-f21d-4064-afb9-ae48826e6174,USER1047,432.05,travel,2026-05-04 13:53:34.792260,Chennai,False,13,Monday,0,6.070853194777054,low,1,432.05,,999999.0,0,0,LOW
2bfe140c-83af-4645-9c52-ea065d14b0c5,USER1052,2332.55,fashion,2026-05-13 16:43:34.787201,Pune,False,16,Wednesday,0,7.75514599220124,medium,1,2332.55,,999999.0,0,0,LOW
ad0518c4-e9ef-4efc-9970-d4458922cdeb,USER1056,1804.83,grocery,2026-05-03 11:14:34.796704,Pune,False,11,Sunday,0,7.498775598870835,medium,1,1804.83,,999999.0,0,0,LOW
4d2fc3e1-a2c0-41ca-b67f-ba2622852f20,USER1062,2245.33,healthcare,2026-04-22 13:05:34.791303,Kolkata,False,13,Wednesday,0,7.717053052377317,medium,1,2245.33,,999999.0,0,0,LOW
a5775471-0409-48bc-b111-f35865b455bf,USER1068,140494.08,crypto,2026-04-18 22:17:34.798823,Unknown,True,22,Saturday,1,11.852927749349206,very_high,1,140494.08,,999999.0,0,85,HIGH
edf6ec25-4658-4386-b66d-7c15147a57e7,USER1080,3671.98,restaurant,2026-04-15 22:40:34.793814,Hyderabad,False,22,Wednesday,0,8.20875860066463,medium,1,3671.98,,999999.0,0,0,LOW
cd202bb3-60d8-45c7-83fd-232e355a203d,USER1085,1139.54,travel,2026-03-06 12:12:34.787561,Pune,False,12,Friday,0,7.0392571134461175,medium,1,1139.54,,999999.0,0,0,LOW
250096a9-4afa-4d67-b528-2109d86fbf6a,USER1089,2096.05,fashion,2026-05-14 01:55:34.785335,Hyderabad,False,1,Thursday,0,7.648286874203742,medium,1,2096.05,,999999.0,0,0,LOW
16287d5d-e25f-487a-9e36-b68da38246cb,USER1102,2046.93,crypto,2026-03-08 12:18:34.796154,Pune,False,12,Sunday,1,7.62458480588776,medium,1,2046.93,,999999.0,0,25,LOW
5d2d54fd-9dd9-43bd-ac64-a8a2c304bc42,USER1103,130642.37,electronics,2026-05-02 01:24:34.799403,Unknown,True,1,Saturday,1,11.780226523392466,very_high,1,130642.37,,999999.0,0,85,HIGH
9ac88706-b7de-4d19-bad9-8a63350248e4,USER1129,813.04,fashion,2026-04-14 08:32:34.788836,Kolkata,False,8,Tuesday,0,6.702009504844348,low,1,813.04,,999999.0,0,0,LOW
fae4278a-5f65-4c2c-b4af-3c5376fde381,USER1132,3892.01,healthcare,2026-04-06 20:10:34.789055,Bangalore,False,20,Monday,0,8.26693791632023,medium,1,3892.01,,999999.0,0,0,LOW
4f26adff-390d-4495-a7ea-9bd66531d99a,USER1137,851.5,travel,2026-03-17 14:34:34.796666,Hyderabad,False,14,Tuesday,0,6.748173209157672,low,1,851.5,,999999.0,0,0,LOW
b7ebbfb2-dffd-4d39-8728-529c09336f57,USER1145,4646.57,gaming,2026-05-05 09:49:34.788620,Unknown,False,9,Tuesday,1,8.444099781343386,medium,1,4646.57,,999999.0,0,45,MEDIUM
17d0106a-1c6a-436a-b1f2-b82eef95d0ef,USER1147,961.16,electronics,2026-04-24 14:44:34.786803,Hyderabad,False,14,Friday,1,6.869180757002361,low,1,961.16,,999999.0,0,25,LOW
afb8f515-69fa-463a-b059-ae02f190050d,USER1161,96661.6,gaming,2026-03-10 05:20:34.800433,Unknown,True,5,Tuesday,1,11.478981843444108,very_high,1,96661.6,,999999.0,0,45,MEDIUM
47271047-38ec-441f-93a3-c527089324bf,USER1170,930.81,restaurant,2026-03-09 00:03:34.793447,Mumbai,False,0,Monday,0,6.83712893124183,low,1,930.81,,999999.0,0,0,LOW
e3cc3672-c71e-49f8-9c4d-e052f0c3fadf,USER1182,3305.41,fashion,2026-04-10 19:11:34.793201,Bangalore,False,19,Friday,0,8.103618287630404,medium,1,3305.41,,999999.0,0,0,LOW
3c536e1e-aff4-4ea4-b3a6-eb9dd90c4f94,USER1191,146226.75,gaming,2026-03-12 22:40:34.797932,Unknown,True,22,Thursday,1,11.892920616767997,very_high,1,146226.75,,999999.0,0,85,HIGH
b784f22d-8724-4d00-b64f-4d00c26a1ef5,USER1197,1550.39,travel,2026-04-05 04:53:34.790447,Mumbai,False,4,Sunday,0,7.346906582245099,medium,1,1550.39,,999999.0,0,0,LOW
